                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4188,                 2.3239,                 1.5814,                 0.7653,                0.17555,                 0.4109,                0.21355,                 1.4923,                 2.7806,                 1.8167,             0.00036446,             0.00036446,             0.00036446
                      2,                 1.3643,                 1.4991,                 1.4676,                0.75737,                0.55668,                0.60074,                0.31421,                 1.5666,                 1.6778,                 1.7821,             0.00072751,             0.00072751,             0.00072751
                      3,                 1.3763,                 1.3985,                 1.4687,                0.70547,                 0.5526,                 0.5955,                0.28365,                 1.7274,                 1.8611,                 1.9896,              0.0010832,              0.0010832,              0.0010832
                      4,                 1.3681,                 1.3091,                 1.4624,                   0.74,                0.59194,                0.70854,                0.35528,                 1.6367,                 1.3424,                 1.8892,               0.001078,               0.001078,               0.001078
                      5,                 1.3701,                 1.2134,                 1.4471,                0.81745,                0.60005,                 0.7379,                0.36241,                 1.5842,                 1.3344,                 1.8091,               0.001067,               0.001067,               0.001067
                      6,                 1.3426,                 1.1726,                 1.4541,                0.82824,                0.68874,                0.76722,                0.40522,                 1.5274,                 1.1168,                  1.733,               0.001056,               0.001056,               0.001056
                      7,                 1.3214,                 1.0983,                 1.4232,                0.65242,                0.68128,                0.73625,                0.38609,                 1.5594,                  1.153,                 1.7708,               0.001045,               0.001045,               0.001045
                      8,                 1.3096,                 1.0446,                 1.4108,                0.76852,                0.76793,                0.81638,                0.42566,                 1.4902,                 1.0226,                 1.7231,               0.001034,               0.001034,               0.001034
                      9,                 1.3069,                 1.0205,                 1.4106,                0.64525,                0.63377,                0.66697,                0.35416,                 1.5781,                  1.157,                 1.7744,               0.001023,               0.001023,               0.001023
